bairro,area_quartos,enderecos_lista,aluguel
lourdes,30 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.300
lourdes,30 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.300
lourdes,120 m² totais2 quartos,"Lourdes - Belo Horizonte/mg, Lourdes, Belo Horizonte, Minas Gerais",1.300
lourdes,50 m² construídos1 quarto,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",1.232
lourdes,31 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,33 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,35 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,36 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,65 m² construídos1 quarto,"Rua Da Bahia, Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,16 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,36 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,35 m² construídos1 quarto,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,33 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.200
lourdes,120 m² construídos4 quartos,"Rua Dos Guajajaras, Lourdes, Belo Horizonte, Minas Gerais",1.180
lourdes,27 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.167
lourdes,27 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.167
lourdes,36 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,40 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,34 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,36 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,33 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,36 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,40 m² construídos1 quarto,"Avenida Do Contorno, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,46 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,71 m² construídos2 quartos,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",1.100
lourdes,69 m² construídos1 quarto,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",1.030
lourdes,50 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.000
lourdes,50 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.000
lourdes,50 m² construídos1 quarto,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",1.000
lourdes,19 m² construídos1 quarto,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",1.000
