bairro,area_quartos,enderecos_lista,aluguel
lourdes,137 m² construídos4 quartos,"R. Prof. Antônio Aleixo, 765 - Lourdes, Belo Horizonte - Mg, 30180-150, Brasil, Lourdes, Belo Horizonte, Minas Gerais",5.500
lourdes,300 m² construídos4 quartos,"Rua Alvarenga Peixoto, Lourdes, Belo Horizonte, Minas Gerais",5.500
lourdes,280 m² construídos4 quartos,"Rua Gonçalves Dias, Lourdes, Belo Horizonte, Minas Gerais",5.500
lourdes,170 m² construídos4 quartos,"R. Curitiba, 2115 - Lourdes, Belo Horizonte - Mg, 30170-122, Brasil, Lourdes, Belo Horizonte, Minas Gerais",5.500
lourdes,110 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",5.482
lourdes,90 m² construídos2 quartos,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",5.341
lourdes,154 m² construídos4 quartos,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",5.300
lourdes,188 m² construídos3 quartos,"Rua Professor Antônio Aleixo, Lourdes, Belo Horizonte, Minas Gerais",5.300
lourdes,105 m² construídos3 quartos,"Rua Alvarenga Peixoto, Lourdes, Belo Horizonte, Minas Gerais",5.300
lourdes,95 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",5.250
lourdes,170 m² construídos4 quartos,"Rua Gonçalves Dias, Lourdes, Belo Horizonte, Minas Gerais",5.000
lourdes,300 m² construídos4 quartos,"Rua Alvarenga Peixoto, Lourdes, Belo Horizonte, Minas Gerais",5.000
lourdes,142 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",5.000
lourdes,200 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",5.000
lourdes,21 m² construídos,"Lourdes - Belo Horizonte/mg, Lourdes, Belo Horizonte, Minas Gerais",450
lourdes,"1,050 m² totais","Lourdes, Belo Horizonte, Minas Gerais",40.000
lourdes,190 m² construídos4 quartos,"Rua Professor Antônio Aleixo, Lourdes, Belo Horizonte, Minas Gerais",4.900
lourdes,120 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",4.500
lourdes,240 m² construídos3 quartos,"Rua Alvarenga Peixoto, Lourdes, Belo Horizonte, Minas Gerais",4.500
lourdes,180 m² construídos4 quartos,"Rua Professor Antonio Aleixo, Lourdes, Belo Horizonte, Minas Gerais",4.500
lourdes,270 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",4.500
lourdes,188 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",4.500
lourdes,250 m² totais4 quartos,"Tomaz Gonzaga, Lourdes, Belo Horizonte, Minas Gerais",4.500
lourdes,259 m² construídos3 quartos,"Rua Espírito Santo, Lourdes, Belo Horizonte, Minas Gerais",4.500
lourdes,240 m² construídos4 quartos,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",4.300
lourdes,63 m² construídos,"Rua Da Bahia, Lourdes, Belo Horizonte, Minas Gerais",4.200
lourdes,139 m² construídos4 quartos,"Rua Santa Catarina, Lourdes, Belo Horizonte, Minas Gerais",4.200
lourdes,165 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",4.100
lourdes,165 m² construídos4 quartos,"Rua Santa Catarina, Lourdes, Belo Horizonte, Minas Gerais",4.100
lourdes,100 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",4.000
lourdes,135 m² construídos4 quartos,"R. Alvarenga Peixoto, 435 - Lourdes, Belo Horizonte - Mg, 30180-120, Brasil, Lourdes, Belo Horizonte, Minas Gerais",4.000
lourdes,94 m² construídos2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",4.000
lourdes,300 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",4.000
lourdes,733 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",33.000
lourdes,854 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",32.000
lourdes,120 m² construídos,"Avenida Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais",3.950
lourdes,70 m² construídos2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",3.800
lourdes,160 m² construídos3 quartos,"R. Espírito Santo, 1868 - Centro, Belo Horizonte - Mg, 30160-032, Brasil, Lourdes, Belo Horizonte, Minas Gerais",3.800
lourdes,500 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",3.600
lourdes,87 m² construídos3 quartos,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",3.500
lourdes,77 m² construídos2 quartos,"Rua Dos Aimorés, Lourdes, Belo Horizonte, Minas Gerais",3.500
lourdes,173 m² construídos3 quartos,"Avenida Do Contorno, Lourdes, Belo Horizonte, Minas Gerais",3.500
lourdes,76 m² construídos2 quartos,"Rua Dos Aimorés, Lourdes, Belo Horizonte, Minas Gerais",3.500
lourdes,345 m² construídos3 quartos,"Rua Dom Sebastião Leme, Lourdes, Belo Horizonte, Minas Gerais",3.500
lourdes,43 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",3.500
lourdes,95 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",3.300
lourdes,200 m² construídos4 quartos,"Lourdes, Belo Horizonte, Minas Gerais",3.300
lourdes,83 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",3.250
lourdes,110 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",3.200
lourdes,100 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",3.200
lourdes,160 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",3.200
lourdes,180 m² construídos3 quartos,"Rua Gonçalves Dias, Lourdes, Belo Horizonte, Minas Gerais",3.100
lourdes,75 m² construídos2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",3.000
lourdes,90 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",3.000
lourdes,30 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",3.000
lourdes,100 m² construídos3 quartos,"Rua Dos Timbiras, Lourdes, Belo Horizonte, Minas Gerais",3.000
lourdes,"1,000 m² construídos","Lourdes, Belo Horizonte, Minas Gerais",29.000
lourdes,"2,500 m² construídos","Lourdes, Belo Horizonte, Minas Gerais",28.000
lourdes,329 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",20.486
lourdes,190 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",20.000
lourdes,120 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",20.000
lourdes,220 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",20.000
lourdes,113 m² construídos3 quartos,"Rua Dos Guajajaras, Lourdes, Belo Horizonte, Minas Gerais",2.900
lourdes,540 m² totais,"Lourdes, Belo Horizonte, Minas Gerais",2.850
