area (m²),número de quartos,aluguel,street,neighborhood,city,state
18.0,1.0,1100.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1100.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1100.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1100.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1099.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1097.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1097.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
18.0,1.0,1096.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1001.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
65.0,2.0,1000.0,Rua Entre Rios, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,1000.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,998.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,997.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,996.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,996.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,2.0,960.0,Rua Rio Pomba, Carlos Prates, Belo Horizonte, Minas Gerais
40.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
23.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
40.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
84.0,3.0,950.0,Rua Entre Rios, Carlos Prates, Belo Horizonte, Minas Gerais
24.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
40.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
35.0,1.0,950.0,,Carlos Prates, Belo Horizonte, Minas Gerais
40.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
24.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
40.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
40.0,1.0,950.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
35.0,2.0,950.0,,Carlos Prates, Belo Horizonte, Minas Gerais
25.0,1.0,900.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
23.0,1.0,900.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
25.0,1.0,900.0,Rua Bagé, Carlos Prates, Belo Horizonte, Minas Gerais
64.0,1.0,900.0,Rua Padre Eustáquio, Carlos Prates, Belo Horizonte, Minas Gerais
80.0,2.0,892.0,Rua Entre Rios, Carlos Prates, Belo Horizonte, Minas Gerais
64.0,2.0,850.0,Rua Peçanha, Carlos Prates, Belo Horizonte, Minas Gerais
69.0,-1.0,800.0,,Carlos Prates, Belo Horizonte, Minas Gerais
90.0,2.0,800.0,,R. Areado, 350, Carlos Prates
